Month  :June-2025,,Preventive Maintenance Planned for PMHV,,,,,,,,,,
Date,Time,Day Shift  ,,,,,Battery Cleaning,Night Shift  ,,,,
,,PM PMHV,PM PMHV,Lunch Break,PM PMHV,PM PMHV,,PM PMHV,PM PMHV,Night Break,PM PMHV,PM PMHV
,,08:00-10:00,10:00-12:00,,13:00-15:00,15:00-17:00,,22:30-00:30,00:30-02:30,,03:30-05:30,05:30-08:00
1-Jun-25,Sunday,,,,,,,,,,,
2-Jun-25,Monday,SF-08,WF-08,,WF-06,BT-04,,BT-01,BT-13,,TT-06,BT-14
3-Jun-25,Tuesday,BF-16,WF-13,,BF-03,BT-02,,TT-01,BT-06,,TT-08,TT-13
4-Jun-25,Wednesday,TF-01,SF-03,,WF-10,BT-03,,WR-01,TT-04,,TT-23,BT-10
5-Jun-25,Thursday,TT-39,BF-01,,TT-07,CFS-01,,TT-16,TT-02,,TT-17,TT-09
6-Jun-25,Friday,TT-38,BF-02,,BF-04,TF-05,,TT-18,BT-07,,TT-59,BT-08
7-Jun-25,Saturday,WF-01,BF-07,,WF-09,WF-16,,TT-36,TT-26,,BT-09,TT-10
8-Jun-25,Sunday,,,,,,,,,,,
9-Jun-25,Monday,BF-09,WF-12,,SF-01,TT-24,,PR-01,TT-27,,TT-37,ST-01
10-Jun-25,Tuesday,BF-10,WF-11,,BF-11,WF-15,,TT-31,WF-17,,BT-11,TT-32
11-Jun-25,Wednesday,BF-12,WF-14,,TT-14,WF-02,,WR-02,TT-43,,BT-05,TT-34
12-Jun-25,Thursday,PF-01,WF-05,,BF-06,BT-12,,TT-46,TT-41,,TT-35,TT-50
13-Jun-25,Friday,TF-04,TT-64,,WR-03,WF-21,,WF-19,ST-02,,TT-51,TT-58
14-Jun-25,Saturday,SF-05,TT-47,,BF-08,TT-19,,SF-07,WF-23,,TT-52,TT-61
15-Jun-25,Sunday,,,,,,,,,,,
16-Jun-25,Monday,WF-03,BF-13,,BF-14,TT-42,,TT-54,TT-49,,TT-62,TT-63
17-Jun-25,Tuesday,TT-22,SF-04,,BF-15,TT-21,,TT-55,TT-15,,TT-56,TT-29
18-Jun-25,Wednesday,WF-25,SF-06,,TT-40,WF-22,,WR-04,TT-05,.,TT-65,TT-20
19-Jun-25,Thursday,TT-25,TT-28,,TT-11,BF-17,,WR-05,TF-06,,TT-12,TT-57
20-Jun-25,Friday,BF-18,SF-02,,WF-20,TT-44,,TT-33,TT-60,,PL-02,WL-01
21-Jun-25,Saturday,,,,,,,,,,,
22-Jun-25,Sunday,,,,,,,,,,,
23-Jun-25,Monday,WF-24,WF-07,,TF-03,TT-45,,TT-30,PF-02,,TF-08,BT-15
24-Jun-25,Tuesday,WF-04,BF-05,,PL-01,TT-48,,TT-03,SF-09,,TT-66 ,BT-16
25-Jun-25,Wednesday,TF-02,WF-18,,BL-01,TT-53,,WR-06,TT-67,,TT-68,BT-17
26-Jun-25,Thursday,TT-69,SF-11,,SF-12,SF-13,,SF-14,SF-18,,SF-16,BT-18
27-Jun-25,Friday,SF-17,SF-15,,SF-10,,,,,,,
28-Jun-25,Saturday,,,,,,,,,,,
29-Jun-25,Sunday,,,,,,,,,,,
30-Jun-25,Monday,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
